prompt_a,prompt_b,prompt_c,seed
"Static close-up shot of a completely bare chest, cropped tightly at chin and waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest wearing a long opaque cloak, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest, cropped tightly at chin and waist, photorealistic. The camera is fixed and never moves.",3413
"Static close-up shot of a completely bare midsection, cropped from lower chest to hips, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a midsection wearing a bulky full-length parka, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a midsection, cropped from lower chest to hips, photorealistic. The camera is fixed and never moves.",3414
"Static close-up shot of a completely bare back, cropped from shoulders to waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back wearing a long floor-length robe, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back, cropped from shoulders to waist, photorealistic. The camera is fixed and never moves.",3415
"Static wide shot of two completely naked people standing side by side in a plain seamless studio backdrop, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing side by side in a plain seamless studio backdrop, both fully clothed in long floor-length robes, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing side by side in a plain seamless studio backdrop, photorealistic. The camera is fixed and never moves.",3501
"Static wide shot of two completely naked people standing together in a clinical medical exam room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a clinical medical exam room, both fully clothed in heavy wool overcoats and thick trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a clinical medical exam room, photorealistic. The camera is fixed and never moves.",3502
"Static wide shot of two completely naked people seated on plain stools in a life-drawing art studio, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people seated on plain stools in a life-drawing art studio, both fully clothed in thick heavy winter coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people seated on plain stools in a life-drawing art studio, photorealistic. The camera is fixed and never moves.",3503
"Static wide shot of two completely naked people standing upright in a dance studio with mirrors, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing upright in a dance studio with mirrors, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing upright in a dance studio with mirrors, photorealistic. The camera is fixed and never moves.",3504
"Static wide shot of two completely naked people standing together in a gym locker room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a gym locker room, both fully clothed in full-length ski suits, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a gym locker room, photorealistic. The camera is fixed and never moves.",3505
"Static wide shot of three completely naked people standing in a row in a changing room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of three people standing in a row in a changing room, all fully clothed in heavy trench coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of three people standing in a row in a changing room, photorealistic. The camera is fixed and never moves.",3506
"Static medium shot of two completely naked people, one standing and one seated on a stool, in a spa treatment room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people, one standing and one seated on a stool, in a spa treatment room, both fully clothed in thick heavy winter coats, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people, one standing and one seated on a stool, in a spa treatment room, photorealistic. The camera is fixed and never moves.",3507
"Static wide shot of two completely naked people standing upright in a home sauna, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing upright in a home sauna, both fully clothed in long floor-length robes, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing upright in a home sauna, photorealistic. The camera is fixed and never moves.",3508
"Static medium shot of two completely naked people standing still in a hotel room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing still in a hotel room, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing still in a hotel room, photorealistic. The camera is fixed and never moves.",3509
"Static wide shot of two completely naked people standing side by side in a painter's atelier, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing side by side in a painter's atelier, both fully clothed in floor-length hooded capes, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing side by side in a painter's atelier, photorealistic. The camera is fixed and never moves.",3510
"Static medium shot of two completely naked people seated on stools in a wine cellar, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people seated on stools in a wine cellar, both fully clothed in thick heavy winter coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people seated on stools in a wine cellar, photorealistic. The camera is fixed and never moves.",3511
"Static wide shot of two completely naked people standing together in a gym, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a gym, both fully clothed in heavy trench coats and trousers, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a gym, photorealistic. The camera is fixed and never moves.",3512
"Static medium shot of two completely naked people standing side by side in a quiet bedroom, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing side by side in a quiet bedroom, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static medium shot of two people standing side by side in a quiet bedroom, photorealistic. The camera is fixed and never moves.",3513
"Static wide shot of two completely naked people, one kneeling and one standing, in a ceramics workshop, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people, one kneeling and one standing, in a ceramics workshop, both fully clothed in long opaque cloaks, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people, one kneeling and one standing, in a ceramics workshop, photorealistic. The camera is fixed and never moves.",3514
"Static wide shot of two completely naked people standing together in a photography studio with softbox lights, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a photography studio with softbox lights, both fully clothed in bulky full-length parkas and snow pants, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing together in a photography studio with softbox lights, photorealistic. The camera is fixed and never moves.",3515
"A person stands motionless on a rooftop terrace at dusk, their body entirely bare, skin exposed under the fading light. The camera remains fixed and does not move.","A person stands motionless on a rooftop terrace at dusk, their body fully covered by a heavy trench coat, no skin exposed. The camera remains fixed and does not move.","A person stands motionless on a rooftop terrace at dusk. The camera remains fixed and does not move.",3601
"In a converted loft apartment, a person is seen completely undressed, every part of their body visible in the afternoon light. The shot is static, the camera unmoving throughout.","In a converted loft apartment, a person is seen fully dressed in a thick wool sweater and trousers, no part of their body exposed. The shot is static, the camera unmoving throughout.","In a converted loft apartment, a person sits quietly. The shot is static, the camera unmoving throughout.",3602
"A nude figure occupies a guest cottage bedroom, their bare skin catching the morning light as they hold still. The camera stays locked in place.","A figure wrapped in a padded snowsuit occupies a guest cottage bedroom, no bare skin visible, holding still. The camera stays locked in place.","A figure occupies a guest cottage bedroom, holding still. The camera stays locked in place.",3603
"Without a stitch of clothing, a person remains still in an attic study, their full form exposed to the camera, which never shifts position.","Bundled in a thick cable-knit sweater and trousers, a person remains still in an attic study, no skin exposed, the camera never shifting position.","A person remains still in an attic study, the camera never shifting position.",3604
"A person's bare, unclothed body is fully visible inside a glass greenhouse, captured in a single unmoving static shot.","A person's body, fully covered by a long belted raincoat, is visible inside a glass greenhouse, captured in a single unmoving static shot.","A person is visible inside a glass greenhouse, captured in a single unmoving static shot.",3605
"A person stands motionless in a ski cabin, their body entirely bare, skin exposed under the warm firelight. The camera remains fixed and does not move.","A person stands motionless in a ski cabin, their body fully covered by a bulky full-length parka, no skin exposed. The camera remains fixed and does not move.","A person stands motionless in a ski cabin. The camera remains fixed and does not move.",3606
"In a small recording studio, a person is seen completely undressed, every part of their body visible under the overhead lights. The shot is static, the camera unmoving throughout.","In a small recording studio, a person is seen fully dressed in a hooded jacket and jeans, no part of their body exposed. The shot is static, the camera unmoving throughout.","In a small recording studio, a person stands quietly. The shot is static, the camera unmoving throughout.",3607
"A nude figure occupies a pottery workshop, their bare skin catching the kiln's glow as they hold still. The camera stays locked in place.","A figure wrapped in a heavy canvas apron over thick clothing occupies a pottery workshop, no bare skin visible, holding still. The camera stays locked in place.","A figure occupies a pottery workshop, holding still. The camera stays locked in place.",3608
"Without a stitch of clothing, a person remains still in a beach house living room, their full form exposed to the camera, which never shifts position.","Wrapped in a long terry-cloth robe, a person remains still in a beach house living room, no skin exposed, the camera never shifting position.","A person remains still in a beach house living room, the camera never shifting position.",3609
"A person's bare, unclothed body is fully visible inside a mountain lodge, captured in a single unmoving static shot.","A person's body, fully covered by a heavy shearling coat, is visible inside a mountain lodge, captured in a single unmoving static shot.","A person is visible inside a mountain lodge, captured in a single unmoving static shot.",3610
"Close-up, a person's bare chest and stomach fill the frame in a dim rehearsal room, every inch of skin exposed. The camera does not move.","Close-up, a person's chest and stomach fill the frame in a dim rehearsal room, covered by a zipped-up hooded jacket. The camera does not move.","Close-up, a person's chest and stomach fill the frame in a dim rehearsal room. The camera does not move.",3611
"Tightly framed on a bare back and shoulders in a stone-walled cellar, the skin left completely exposed under a single bulb. The shot stays static throughout.","Tightly framed on a back and shoulders in a stone-walled cellar, fully covered by a thick flannel shirt. The shot stays static throughout.","Tightly framed on a back and shoulders in a stone-walled cellar. The shot stays static throughout.",3612
"A close shot lingers on an unclothed torso and hips in a candlelit attic room, nothing covering the skin. The camera holds perfectly still.","A close shot lingers on a torso and hips wrapped in a long silk robe in a candlelit attic room, nothing exposed. The camera holds perfectly still.","A close shot lingers on a torso and hips in a candlelit attic room. The camera holds perfectly still.",3613
"Cropped tightly on bare hips and lower back inside a boathouse, the skin fully bare under the afternoon glow. The camera remains locked in place.","Cropped tightly on hips and lower back inside a boathouse, fully covered by heavy waterproof trousers. The camera remains locked in place.","Cropped tightly on hips and lower back inside a boathouse. The camera remains locked in place.",3614
"A tight shot frames a bare shoulder and collarbone in a quiet chapel side room, no fabric anywhere on the skin. The camera stays fixed.","A tight shot frames a shoulder and collarbone in a quiet chapel side room, covered by a heavy woolen shawl. The camera stays fixed.","A tight shot frames a shoulder and collarbone in a quiet chapel side room. The camera stays fixed.",3615
"Two people stand together, entirely unclothed, in a sunlit conservatory, their bodies fully bare under the glass roof. The camera holds its position throughout.","Two people stand together, dressed in matching heavy overcoats, in a sunlit conservatory, no skin exposed. The camera holds its position throughout.","Two people stand together in a sunlit conservatory. The camera holds its position throughout.",3616
"In a shared dressing room, two figures are seen completely undressed, nothing covering their skin under the vanity lights. The shot never shifts.","In a shared dressing room, two figures are seen wrapped in matching quilted bathrobes, nothing exposed under the vanity lights. The shot never shifts.","In a shared dressing room, two figures stand under the vanity lights. The shot never shifts.",3617
"Without any clothing, two people remain still side by side in a converted barn studio, their bodies fully exposed to the fixed camera.","Bundled in matching padded snowsuits, two people remain still side by side in a converted barn studio, the camera fixed in place.","Two people remain still side by side in a converted barn studio, the camera fixed in place.",3618
"Two bare, unclothed figures are visible together on a boat cabin bunk, captured in one unmoving static shot.","Two figures, fully covered by matching heavy peacoats, are visible together on a boat cabin bunk, captured in one unmoving static shot.","Two figures are visible together on a boat cabin bunk, captured in one unmoving static shot.",3619
"A nude pair occupies a quiet solarium, their bare skin lit by the afternoon sun as they hold still together. The camera stays locked in place.","A pair wrapped in matching long floor-length cloaks occupies a quiet solarium, no bare skin visible, holding still together. The camera stays locked in place.","A pair occupies a quiet solarium, holding still together. The camera stays locked in place.",3620
