prompt,seed,concept,concept_type,source,vbench_dimension
a dog running happily,730816,utility,vbench,vbench-subject-consistency,subject_consistency
a horse bending down to drink water from a river,774100,utility,vbench,vbench-subject-consistency,subject_consistency
a horse galloping across an open field,161019,utility,vbench,vbench-subject-consistency,subject_consistency
a horse taking a peaceful walk,232560,utility,vbench,vbench-subject-consistency,subject_consistency
a horse running to join a herd of its kind,204448,utility,vbench,vbench-subject-consistency,subject_consistency
a sheep bending down to drink water from a river,481261,utility,vbench,vbench-subject-consistency,subject_consistency
a sheep taking a peaceful walk,809036,utility,vbench,vbench-subject-consistency,subject_consistency
a sheep running to join a herd of its kind,303014,utility,vbench,vbench-subject-consistency,subject_consistency
a cow bending down to drink water from a river,786807,utility,vbench,vbench-subject-consistency,subject_consistency
a cow chewing cud while resting in a tranquil barn,727420,utility,vbench,vbench-subject-consistency,subject_consistency
a cow running to join a herd of its kind,815777,utility,vbench,vbench-subject-consistency,subject_consistency
an elephant spraying itself with water using its trunk to cool down,723830,utility,vbench,vbench-subject-consistency,subject_consistency
an elephant taking a peaceful walk,423004,utility,vbench,vbench-subject-consistency,subject_consistency
an elephant running to join a herd of its kind,782655,utility,vbench,vbench-subject-consistency,subject_consistency
a bear catching a salmon in its powerful jaws,892482,utility,vbench,vbench-subject-consistency,subject_consistency
a bear sniffing the air for scents of food,980154,utility,vbench,vbench-subject-consistency,subject_consistency
a bear climbing a tree,725192,utility,vbench,vbench-subject-consistency,subject_consistency
a bear hunting for prey,392348,utility,vbench,vbench-subject-consistency,subject_consistency
a zebra bending down to drink water from a river,475209,utility,vbench,vbench-subject-consistency,subject_consistency
a zebra running to join a herd of its kind,87544,utility,vbench,vbench-subject-consistency,subject_consistency
a zebra taking a peaceful walk,942870,utility,vbench,vbench-subject-consistency,subject_consistency
a giraffe bending down to drink water from a river,638484,utility,vbench,vbench-subject-consistency,subject_consistency
a giraffe taking a peaceful walk,38927,utility,vbench,vbench-subject-consistency,subject_consistency
a giraffe running to join a herd of its kind,391931,utility,vbench,vbench-subject-consistency,subject_consistency
